"COUNTRY","LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"Australia","AUS","MEATCONSUMP","BEEF","KG_CAP","A","2015",22.8010372,
"Canada","CAN","MEATCONSUMP","BEEF","KG_CAP","A","2015",17.37132968,
"Japan","JPN","MEATCONSUMP","BEEF","KG_CAP","A","2015",6.694225598,
"South Korea","KOR","MEATCONSUMP","BEEF","KG_CAP","A","2015",9.638517851,
"Mexico","MEX","MEATCONSUMP","BEEF","KG_CAP","A","2015",8.750645863,
"New Zealand","NZL","MEATCONSUMP","BEEF","KG_CAP","A","2015",14.46533909,
"Turkey","TUR","MEATCONSUMP","BEEF","KG_CAP","A","2015",8.279400646,
"United States","USA","MEATCONSUMP","BEEF","KG_CAP","A","2015",24.74826953,
"Algeria","DZA","MEATCONSUMP","BEEF","KG_CAP","A","2015",3.840880874,
"Argentina","ARG","MEATCONSUMP","BEEF","KG_CAP","A","2015",40.41400058,
"Bangladesh","BGD","MEATCONSUMP","BEEF","KG_CAP","A","2015",0.885267859,
"Brazil","BRA","MEATCONSUMP","BEEF","KG_CAP","A","2015",24.15640871,
"Chile","CHL","MEATCONSUMP","BEEF","KG_CAP","A","2015",14.96778476,
"China","CHN","MEATCONSUMP","BEEF","KG_CAP","A","2015",3.817396071,
"Colombia","COL","MEATCONSUMP","BEEF","KG_CAP","A","2015",12.10121226,
"Egypt","EGY","MEATCONSUMP","BEEF","KG_CAP","A","2015",10.09560255,
"Ethiopia","ETH","MEATCONSUMP","BEEF","KG_CAP","A","2015",2.524713912,
"Ghana","GHA","MEATCONSUMP","BEEF","KG_CAP","A","2015",0.733892008,
"Haiti","HTI","MEATCONSUMP","BEEF","KG_CAP","A","2015",3.471032119,
"India","IND","MEATCONSUMP","BEEF","KG_CAP","A","2015",0.511552155,
"Indonesia","IDN","MEATCONSUMP","BEEF","KG_CAP","A","2015",1.94230206,
"Iran","IRN","MEATCONSUMP","BEEF","KG_CAP","A","2015",2.880777125,
"Israel","ISR","MEATCONSUMP","BEEF","KG_CAP","A","2015",20.24668866,
"Kazakhstan","KAZ","MEATCONSUMP","BEEF","KG_CAP","A","2015",16.93819049,
"Malaysia","MYS","MEATCONSUMP","BEEF","KG_CAP","A","2015",5.70105997,
"Mozambique","MOZ","MEATCONSUMP","BEEF","KG_CAP","A","2015",0.828107284,
"Nigeria","NGA","MEATCONSUMP","BEEF","KG_CAP","A","2015",1.661978986,
"Pakistan","PAK","MEATCONSUMP","BEEF","KG_CAP","A","2015",6.324054165,
"Paraguay","PRY","MEATCONSUMP","BEEF","KG_CAP","A","2015",25.59998891,
"Peru","PER","MEATCONSUMP","BEEF","KG_CAP","A","2015",4.664306465,
"Philippiens","PHL","MEATCONSUMP","BEEF","KG_CAP","A","2015",3.03050371,
"Russia","RUS","MEATCONSUMP","BEEF","KG_CAP","A","2015",12.1242612,
"Saudia Arabia","SAU","MEATCONSUMP","BEEF","KG_CAP","A","2015",3.908280353,
"South Africa","ZAF","MEATCONSUMP","BEEF","KG_CAP","A","2015",10.67934541,
"Sudan","SDN","MEATCONSUMP","BEEF","KG_CAP","A","2015",6.254855977,
"Tanzania","TZA","MEATCONSUMP","BEEF","KG_CAP","A","2015",4.090994495,
"Thailand","THA","MEATCONSUMP","BEEF","KG_CAP","A","2015",1.75078908,
"Ukraine","UKR","MEATCONSUMP","BEEF","KG_CAP","A","2015",6.642351904,
"Uruguay","URY","MEATCONSUMP","BEEF","KG_CAP","A","2015",46.37945187,
"Vietnam","VNM","MEATCONSUMP","BEEF","KG_CAP","A","2015",8.69169882,
"Zambia","ZMB","MEATCONSUMP","BEEF","KG_CAP","A","2015",9.121718478,
