"COUNTRY","LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"Australia","AUS","MEATCONSUMP","PIG","KG_CAP","A","2015",20.25072536,
"Canada","CAN","MEATCONSUMP","PIG","KG_CAP","A","2015",15.74658647,
"Japan","JPN","MEATCONSUMP","PIG","KG_CAP","A","2015",14.96233495,
"South Korea","KOR","MEATCONSUMP","PIG","KG_CAP","A","2015",28.39244691,
"Mexico","MEX","MEATCONSUMP","PIG","KG_CAP","A","2015",11.52120758,
"New Zealand","NZL","MEATCONSUMP","PIG","KG_CAP","A","2015",18.12811492,
"Turkey","TUR","MEATCONSUMP","PIG","KG_CAP","A","2015",0.044153084,
"United States","USA","MEATCONSUMP","PIG","KG_CAP","A","2015",22.65159096,
"Algeria","DZA","MEATCONSUMP","PIG","KG_CAP","A","2015",0.003757779,
"Argentina","ARG","MEATCONSUMP","PIG","KG_CAP","A","2015",8.24187459,
"Bangladesh","BGD","MEATCONSUMP","PIG","KG_CAP","A","2015",0.000513554,
"Brazil","BRA","MEATCONSUMP","PIG","KG_CAP","A","2015",11.20721696,
"Chile","CHL","MEATCONSUMP","PIG","KG_CAP","A","2015",17.51448686,
"China","CHN","MEATCONSUMP","PIG","KG_CAP","A","2015",31.56769795,
"Colombia","COL","MEATCONSUMP","PIG","KG_CAP","A","2015",5.084564383,
"Egypt","EGY","MEATCONSUMP","PIG","KG_CAP","A","2015",0.004517634,
"Ethiopia","ETH","MEATCONSUMP","PIG","KG_CAP","A","2015",0.01467541,
"Ghana","GHA","MEATCONSUMP","PIG","KG_CAP","A","2015",0.73709297,
"Haiti","HTI","MEATCONSUMP","PIG","KG_CAP","A","2015",3.218806013,
"India","IND","MEATCONSUMP","PIG","KG_CAP","A","2015",0.21227083,
"Indonesia","IDN","MEATCONSUMP","PIG","KG_CAP","A","2015",2.272695992,
"Iran","IRN","MEATCONSUMP","PIG","KG_CAP","A","2015",0.000156769,
"Israel","ISR","MEATCONSUMP","PIG","KG_CAP","A","2015",1.6457879,
"Kazakhstan","KAZ","MEATCONSUMP","PIG","KG_CAP","A","2015",4.95087045,
"Malaysia","MYS","MEATCONSUMP","PIG","KG_CAP","A","2015",6.193914533,
"Mozambique","MOZ","MEATCONSUMP","PIG","KG_CAP","A","2015",3.869132375,
"Nigeria","NGA","MEATCONSUMP","PIG","KG_CAP","A","2015",1.105807698,
"Pakistan","PAK","MEATCONSUMP","PIG","KG_CAP","A","2015",0.00000372,
"Paraguay","PRY","MEATCONSUMP","PIG","KG_CAP","A","2015",21.00522422,
"Peru","PER","MEATCONSUMP","PIG","KG_CAP","A","2015",3.29429619,
"Philippines","PHL","MEATCONSUMP","PIG","KG_CAP","A","2015",14.23606007,
"Russia","RUS","MEATCONSUMP","PIG","KG_CAP","A","2015",18.28793119,
"Saudi Arabia","SAU","MEATCONSUMP","PIG","KG_CAP","A","2015",0.243938791,
"South Africa","ZAF","MEATCONSUMP","PIG","KG_CAP","A","2015",3.396274064,
"Sudan","SDN","MEATCONSUMP","PIG","KG_CAP","A","2015",0.003896619,
"Tanzania","TZA","MEATCONSUMP","PIG","KG_CAP","A","2015",0.238126409,
"Thailand","THA","MEATCONSUMP","PIG","KG_CAP","A","2015",10.92511945,
"Ukraine","UKR","MEATCONSUMP","PIG","KG_CAP","A","2015",13.7475552,
"Uraguay","URY","MEATCONSUMP","PIG","KG_CAP","A","2015",14.26280093,
"Vietnam","VNM","MEATCONSUMP","PIG","KG_CAP","A","2015",29.14475132,
"Zambia","ZMB","MEATCONSUMP","PIG","KG_CAP","A","2015",1.52874861,
