"COUNTRY","LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"Australia","AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2015",42.00750521,
"Canada","CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2015",34.15846671,
"Japan","JPN","MEATCONSUMP","POULTRY","KG_CAP","A","2015",13.63261477,
"South Korea","KOR","MEATCONSUMP","POULTRY","KG_CAP","A","2015",14.2160067,
"Mexico","MEX","MEATCONSUMP","POULTRY","KG_CAP","A","2015",26.31462466,
"New Zealand","NZL","MEATCONSUMP","POULTRY","KG_CAP","A","2015",37.78189872,
"Turkey","TUR","MEATCONSUMP","POULTRY","KG_CAP","A","2015",16.51232379,
"United States","USA","MEATCONSUMP","POULTRY","KG_CAP","A","2015",47.62422294,
"South Africa","DZA","MEATCONSUMP","POULTRY","KG_CAP","A","2015",6.43618904,
"Argentina","ARG","MEATCONSUMP","POULTRY","KG_CAP","A","2015",36.4689953,
"Bangladesh","BGD","MEATCONSUMP","POULTRY","KG_CAP","A","2015",1.223173534,
"Brazil","BRA","MEATCONSUMP","POULTRY","KG_CAP","A","2015",39.36312514,
"Chile","CHL","MEATCONSUMP","POULTRY","KG_CAP","A","2015",30.93243359,
"China","CHN","MEATCONSUMP","POULTRY","KG_CAP","A","2015",11.61724318,
"Colombia","COL","MEATCONSUMP","POULTRY","KG_CAP","A","2015",26.43592901,
"Egypt","EGY","MEATCONSUMP","POULTRY","KG_CAP","A","2015",9.379818244,
"Ethiopia","ETH","MEATCONSUMP","POULTRY","KG_CAP","A","2015",0.551814011,
"Ghana","GHA","MEATCONSUMP","POULTRY","KG_CAP","A","2015",5.576579934,
"Haiti","HTI","MEATCONSUMP","POULTRY","KG_CAP","A","2015",5.627173512,
"India","IND","MEATCONSUMP","POULTRY","KG_CAP","A","2015",1.702915593,
"Indonesia","IDN","MEATCONSUMP","POULTRY","KG_CAP","A","2015",6.619633255,
"Iran","IRN","MEATCONSUMP","POULTRY","KG_CAP","A","2015",23.09321032,
"Israel","ISR","MEATCONSUMP","POULTRY","KG_CAP","A","2015",57.7157791,
"Kazakhtan","KAZ","MEATCONSUMP","POULTRY","KG_CAP","A","2015",16.48836872,
"Malaysia","MYS","MEATCONSUMP","POULTRY","KG_CAP","A","2015",41.44447299,
"Mozambique","MOZ","MEATCONSUMP","POULTRY","KG_CAP","A","2015",1.473030777,
"Nigeria","NGA","MEATCONSUMP","POULTRY","KG_CAP","A","2015",0.917987169,
"Pakistan","PAK","MEATCONSUMP","POULTRY","KG_CAP","A","2015",4.412094952,
"Paraguay","PRY","MEATCONSUMP","POULTRY","KG_CAP","A","2015",5.964261533,
"Peru","PER","MEATCONSUMP","POULTRY","KG_CAP","A","2015",36.82035537,
"Philippines","PHL","MEATCONSUMP","POULTRY","KG_CAP","A","2015",11.03174415,
"Russia","RUS","MEATCONSUMP","POULTRY","KG_CAP","A","2015",26.38561795,
"Saudi Arabia","SAU","MEATCONSUMP","POULTRY","KG_CAP","A","2015",41.2010962,
"Algeria","ZAF","MEATCONSUMP","POULTRY","KG_CAP","A","2015",30.58998501,
"Sudan","SDN","MEATCONSUMP","POULTRY","KG_CAP","A","2015",1.119520407,
"Tanzania","TZA","MEATCONSUMP","POULTRY","KG_CAP","A","2015",1.50938472,
"Thailand","THA","MEATCONSUMP","POULTRY","KG_CAP","A","2015",9.684506052,
"Ukraine","UKR","MEATCONSUMP","POULTRY","KG_CAP","A","2015",22.82909595,
"Uruguay","URY","MEATCONSUMP","POULTRY","KG_CAP","A","2015",13.63640298,
"Vietnam","VNM","MEATCONSUMP","POULTRY","KG_CAP","A","2015",13.98236827,
"Zambia","ZMB","MEATCONSUMP","POULTRY","KG_CAP","A","2015",2.687750981,

